Display Warehouse Stocks of Material (For Monthly Count) October 2025,,,,,,,,,,,,,,,,,,
No.,material,Material Description,Plant,Batch,B.Un,เบิก,,สต๊อกใหญ่,,,,,Exp.สต๊อกใหญ่,Exp.สต๊อกเล็ก,สต๊อกเล็ก,,,ราคา
,,,,,,วันที่,จำนวน,เดิม,รับเข้า,ออก,คงเหลือ,ระบบ,,,เดิม,รับเข้า,คงเหลือ,(บาท)
150,10601945,หมึกพิมพ์สี  Fujifilm CT203486 Black,1030,MAT_BUY,BOX,,,2,0,0,2,2,,ปช,2,0,2,
151,10601946,หมึกพิมพ์สี  Fujifilm CT203487 Cyan,1030,MAT_BUY,BOX,,,2,0,0,2,2,,ปช,2,0,2,
152,10601947,หมึกพิมพ์สี  Fujifilm CT203488 Magenta,1030,MAT_BUY,BOX,,,2,0,0,2,2,,ปช,2,0,2,
153,10601948,หมึกพิมพ์สี  Fujifilm CT203489 Yellow,1030,MAT_BUY,BOX,,,2,0,0,2,2,,ปช,2,0,2,
154,10601953,หมึกพิมพ์ Fuji xeror CT203109-black,1030,MAT_BUY,BOX,,,1,0,0,1,1,,ปช,1,0,1,
155,10700280,ปลั๊กไฟฟ้า 3 ขา 6 จุด สายยาว 5 เมตร(10701244)แทน,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
156,10800026,บัตรพัสดุ (1:200แผ่น)EA=PAC,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
157,10800119,สมุดทะเบียนหนังสือรับขนาดกลาง,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
158,10800122,สมุดทะเบียนหนังสือส่งขนาดกลาง,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
159,10800138,สมุดปกแข็ง ขนาดใหญ่ ก 36 ส 25 ซม.,1030,MAT_BUY,EA,,,0,0,0,0,0,,,0,0,0,
160,10800151,สมุดปกแข็งขนาดกลาง เบอร์ 2,1030,MAT_BUY,EA,,,12,0,0,12,12,,คต,2,0,2,
161,10800164,สมุดปกอ่อน ขนาด 160x235มม (1:40แผ่น),1030,MAT_BUY,EA,,,12,0,0,12,12,,คต,12,0,12,
162,10800304,แบบฟอร์มใบส่งถ่ายภาพรังสี สีขาว(1:200),1030,MAT_BUY,PAC,,,2,0,0,2,2,,คต,3,0,3,
163,10800305,แบบฟอร์มใบส่งถ่ายภาพรังสี สีฟ้า(1:200),1030,MAT_BUY,PAC,,,2,0,0,2,2,,คต,3,0,3,
164,10900054,รองเท้าลำลอง (Slipper),1030,MAT_BUY,PAA,,,0,0,0,0,0,,,0,0,0,
165,10900055,รองเท้าหัวโต,1030,MAT_BUY,PAA,,,24,0,0,24,24,,,0,0,0,
166,20000017,5%Dex+0.45%Sod1000ml (D51/2NSS),1030,,BAG,,,0,0,0,0,0,,,0,0,0,
167,20000066,Amiodarone HCl 50 mg/ml. inj.*3ml,1030,,PAA,,,0,0,0,0,0,10/2026,,0,0,0,
168,20000093,Articaine4% (Ubistesin forte),1030,,VIA,,,0,0,0,0,0,,14/11/26,18,0,18,
169,20000187,"Chlorhexidine mouthwash 0.12%,180ml.",1030,24023061,BT,,,0,0,0,0,0,,16/9/28,5,0,5,
170,20000300,Ethyl chloride88g/100ml,1030,,BT,,,0,0,0,0,0,,,0,0,0,
171,20000447,Lidocaine+Prilocaine (Emlar),1030,100285,TUB,,,4,0,2,2,2,3/27,1/9/26 ซ,3,2,5,
172,20000473,Mepivacaine HCL 3% (Scandonest),1030,B33516BAH,VIA,,,0,0,0,0,0,,18/5/2027,10,0,10,
173,20000474,"Mepivacaine2%+1:100,000E (Scadonest)",1030,B32997AA,VIA,,,0,0,0,0,0,,"9/2/26, 31/1/27(10)",10,0,10,
